key,en-GB,en-US
s:url/StoreAccount,Store Account Details,
s:url/StoreAccount%d,Your Steam account details and settings,
s:url/StoreCart,Store Cart,
s:url/StoreCart%d,Review and purchase items in your cart,
s:validate/%a,Validate %a,
s:validate/%a%d,Verify the integrity of the game's files to ensure they're installed correctly,
s:viewfriendsgame/%f,Join %f's Game,
s:viewfriendsgame/%f%d,View the details of and join %f's game and connected server,
w:help.steampowered.com,Steam Support,
w:help.steampowered.com%d,"Request help with recent purchases, trades, hardware issues and more",
w:steamcommunity.com/discussions,Steam Discussions,
w:steamcommunity.com/discussions%d,Search the Steam forums for help with using apps,
w:steamcommunity.com/market,Community Market,
w:steamcommunity.com/market%d,Buy and sell items with community members for Steam Wallet funds,
w:store.steampowered.com/account/cookiepreferences,Cookies Preferences,
w:store.steampowered.com/account/cookiepreferences%d,Manage browser cookies visible to Valve and third parties,
w:store.steampowered.com/account/preferences,Store Preferences,
w:store.steampowered.com/account/preferences%d,"Filter mature content, uninteresting tags chat messages",
w:store.steampowered.com/charts,Steam Charts,
w:store.steampowered.com/charts%d,See the top selling and top played games across Steam,
w:store.steampowered.com/explore,Your Discovery Queue,
w:store.steampowered.com/explore%d,"Browse new, top-selling and similar products to what you play and use on Steam",
w:store.steampowered.com/news,Steam News Hub,
w:store.steampowered.com/news%d,Your personalised game news for all apps,Your personalized game news for all apps
w:store.steampowered.com/replay,Steam Replay,
w:store.steampowered.com/replay%d,Your top games and achievements on Steam from the previous year,
w:store.steampowered.com/steamaccount/addfunds,Add Funds To Your Wallet,
w:store.steampowered.com/steamaccount/addfunds%d,Add funds to go towards your next purchase,
w:store.steampowered.com/wishlist,Your Wishlist,
w:store.steampowered.com/wishlist%d,View and rank the games and apps you want to buy,
update_cache,Update Cache,
update_cache%d,"Updates the cache of the Steam extension, bypassing wait times",
clear_cache,Clear Data Cache,
clear_cache%d,Clears the cached data of the Steam extension,
clear_images,Clear Image Cache,
clear_images%d,Deletes all downloaded images stored in the Steam extension,
rebuild_cache,Rebuild Cache,
rebuild_cache%d,Completely rebuilds the cache and stored images of the Steam extension,
no_results,No Results,
no_results%d,No results found that match your search,
name_missing,Name missing,
